Table 1 ,"Alla employees' pay and paid hours by sex, United Kingdom, April 1997 - 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,1998,1999,2000,2001,2002,2003,2004 exc.,,2004,2005,2006,,2006*,2007,2008,2009,2010,2011 soc00,,2011 soc10,2012,2013,2014,2015,2016,2017,2018p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median gross annual earnings (£)b,, N/A , N/A ," 14,888 "," 15,800 "," 16,438 "," 16,964 "," 17,508 "," 18,128 ",," 18,172 "," 18,949 "," 19,521 ",," 19,375 "," 20,000 ","20,811","21,310","21,212","21,326",,"21,100","21,500","21,837","22,069","22,436","23,084","23,484","24,006"
        Percentage annual increase,,,,,6.1,4.0,3.2,3.2,3.5,,,4.3,3.0,,,3.2,4.1,2.4,-0.5,0.5,,,1.9,1.6,1.1,1.7,2.9,1.7,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median gross weekly earnings (£),,268.9,280.2,290.0,299.6,312.5,324.8,334.8,349.6,,345.5,349.1,364.1,,363.0,376.0,388.8,397.1,403.8,403.9,,400.0,405.8,415.3,417.9,425.1,438.4,448.5,460.0
        Percentage annual increase,,,4.2,3.5,3.3,4.3,4.0,3.1,4.4,,,1.1,4.3,,,3.6,3.4,2.1,1.7,0.0,,,1.5,2.3,0.6,1.7,3.1,2.3,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median hourly earnings (£),,7.07,7.36,7.66,7.93,8.28,8.62,8.95,9.35,,9.26,9.56,9.97,,9.91,10.23,10.62,11.02,11.14,11.20,,11.14,11.28,11.59,11.61,11.78,12.16,12.47,12.78
        Percentage annual increase,,,4.1,4.0,3.5,4.4,4.1,3.8,4.5,,,3.2,4.3,,,3.2,3.9,3.7,1.1,0.5,,,1.3,2.7,0.2,1.4,3.3,2.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median hourly earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding overtime (£),,7.00,7.27,7.57,7.80,8.19,8.52,8.85,9.27,,9.18,9.49,9.89,,9.84,10.16,10.54,10.97,11.08,11.15,,11.07,11.23,11.53,11.55,11.72,12.09,12.42,12.73
        Percentage annual increase,,,3.8,4.2,3.0,5.0,4.0,3.9,4.8,,,3.3,4.3,,,3.2,3.8,4.1,0.9,0.7,,,1.4,2.7,0.1,1.6,3.1,2.8,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean hourly earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding overtime (£),,8.93,9.40,9.82,10.21,10.81,11.39,11.76,12.23,,12.04,12.55,13.09,,13.03,13.43,13.99,14.43,14.65,14.84,,14.76,14.88,15.17,15.17,15.29,15.77,16.20,16.76
        Percentage annual increase,,,5.2,4.5,4.0,5.8,5.4,3.3,4.0,,,4.2,4.3,,,3.0,4.2,3.1,1.6,1.3,,,0.9,1.9,-0.1,0.8,3.1,2.7,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median total weekly paid hours,,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,,37.0,37.0,37.0,,37.0,37.0,37.0,37.0,37.0,37.0,,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
        Percentage annual increase,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.1,0.1,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean total weekly paid hours,,35.1,35.0,34.8,34.7,34.7,34.5,34.4,34.5,,34.5,33.8,33.9,,33.9,33.9,33.9,33.4,33.4,33.2,,33.1,33.1,33.1,33.2,33.2,33.4,33.3,33.2
        Percentage annual increase,,,-0.2,-0.6,-0.4,0.0,-0.5,-0.2,0.1,,,-1.9,0.3,,,-0.1,0.2,-1.6,-0.1,-0.6,,,0.0,0.1,0.1,0.2,0.4,-0.3,-0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median gross annual earnings (£)b,, N/A , N/A ," 19,024 "," 20,022 "," 20,906 "," 21,489 "," 22,189 "," 22,977 ",," 23,044 "," 23,879 "," 24,440 ",," 24,269 "," 24,893 ","26,000","26,594","26,272","26,396",,"26,303","26,573","27,151","27,213","27,708","28,376","28,832","29,425"
        Percentage annual increase,,,,,5.2,4.4,2.8,3.3,3.6,,,3.6,2.4,,,2.6,4.4,2.3,-1.2,0.5,,,1.0,2.2,0.2,1.8,2.4,1.6,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median gross weekly earnings (£),,343.7,357.4,367.3,380.2,396.2,409.1,422.3,439.7,,434.9,439.8,455.5,,453.6,464.7,484.5,491.0,496.5,494.9,,493.0,498.1,507.8,507.4,517.5,530.4,540.6,555.0
        Percentage annual increase,,,4.0,2.8,3.5,4.2,3.2,3.2,4.1,,,1.1,3.6,,,2.5,4.2,1.4,1.1,-0.3,,,1.0,1.9,-0.1,2.0,2.5,1.9,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median hourly earnings (£),,8.29,8.64,8.95,9.25,9.63,10.05,10.35,10.81,,10.66,10.91,11.32,,11.26,11.58,12.08,12.49,12.47,12.50,,12.50,12.60,12.96,12.93,13.12,13.45,13.80,14.10
        Percentage annual increase,,,4.2,3.6,3.5,4.0,4.4,3.0,4.4,,,2.3,3.8,,,2.8,4.3,3.4,-0.2,0.2,,,0.8,2.8,-0.3,1.5,2.5,2.6,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median hourly earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding overtime (£),,8.17,8.49,8.81,9.06,9.48,9.92,10.21,10.67,,10.54,10.77,11.20,,11.15,11.48,11.97,12.40,12.34,12.42,,12.41,12.50,12.85,12.82,13.00,13.35,13.70,14.00
        Percentage annual increase,,,3.9,3.7,2.9,4.6,4.7,3.0,4.5,,,2.2,4.0,,,2.9,4.3,3.6,-0.5,0.7,,,0.7,2.8,-0.2,1.4,2.7,2.6,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean hourly earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding overtime (£),,10.01,10.54,10.98,11.40,12.08,12.77,13.12,13.58,,13.34,13.85,14.44,,14.38,14.75,15.42,15.83,16.01,16.16,,16.14,16.20,16.58,16.45,16.59,17.10,17.54,18.13
        Percentage annual increase,,,5.3,4.2,3.8,5.9,5.7,2.8,3.5,,,3.8,4.2,,,2.6,4.5,2.6,1.1,0.9,,,0.4,2.3,-0.8,0.9,3.0,2.6,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median total weekly paid hours,,39.0,39.0,39.0,38.9,38.8,38.3,38.3,38.3,,38.2,38.0,37.9,,38.0,38.0,38.0,37.5,37.5,37.5,,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
        Percentage annual increase,,,0.0,0.0,-0.3,-0.3,-1.1,-0.2,0.0,,,-0.7,0.0,,,0.1,0.0,-1.3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean total weekly paid hours,,39.8,39.7,39.4,39.2,39.2,38.9,38.9,38.8,,38.8,38.1,38.1,,38.1,38.1,38.1,37.4,37.4,37.2,,37.1,37.0,37.0,37.0,37.0,37.1,37.0,36.9
        Percentage annual increase,,,-0.3,-0.8,-0.4,-0.1,-0.6,-0.2,-0.1,,,-1.8,0.0,,,-0.2,0.0,-1.8,0.1,-0.7,,,-0.2,0.1,-0.1,0.1,0.3,-0.3,-0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median gross annual earnings (£)b,, N/A , N/A ," 10,421 "," 11,152 "," 11,529 "," 12,018 "," 12,500 "," 13,156 ",," 13,195 "," 14,039 "," 14,589 ",," 14,504 "," 15,019 ","15,642","16,146","16,320","16,440",,"16,175","16,620","16,972","17,117","17,417","17,957","18,238","18,735"
        Percentage annual increase,,,,,7.0,3.4,4.2,4.0,5.2,,,6.4,3.9,,,3.5,4.1,3.2,1.1,0.7,,,2.7,2.1,0.9,1.8,3.1,1.6,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median gross weekly earnings (£),,193.5,201.7,210.8,216.9,228.4,237.5,248.1,261.2,,259.1,267.1,279.6,,278.6,287.5,299.4,309.6,315.8,318.4,,313.2,319.7,327.2,330.4,337.1,349.1,358.3,369.9
        Percentage annual increase,,,4.2,4.5,2.9,5.3,4.0,4.5,5.3,,,3.1,4.7,,,3.2,4.2,3.4,2.0,0.8,,,2.1,2.4,1.0,2.0,3.5,2.6,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median hourly earnings (£),,5.97,6.19,6.47,6.69,7.02,7.29,7.68,8.04,,7.97,8.35,8.71,,8.68,8.98,9.30,9.68,9.90,10.00,,9.91,10.06,10.32,10.37,10.50,10.93,11.18,11.50
        Percentage annual increase,,,3.8,4.5,3.3,4.9,3.9,5.3,4.6,,,4.8,4.4,,,3.4,3.6,4.1,2.2,1.0,,,1.6,2.5,0.5,1.3,4.1,2.3,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median hourly earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding overtime (£),,5.92,6.17,6.43,6.64,6.98,7.25,7.65,8.00,,7.94,8.33,8.71,,8.67,8.97,9.28,9.67,9.89,10.00,,9.90,10.05,10.31,10.36,10.49,10.92,11.18,11.50
        Percentage annual increase,,,4.1,4.3,3.2,5.2,3.9,5.4,4.6,,,5.0,4.5,,,3.4,3.5,4.2,2.3,1.1,,,1.5,2.5,0.5,1.3,4.1,2.4,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean hourly earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excluding overtime (£),,7.48,7.83,8.23,8.56,9.07,9.55,9.95,10.46,,10.34,10.89,11.37,,11.30,11.69,12.14,12.64,12.92,13.15,,12.98,13.19,13.41,13.54,13.66,14.11,14.52,15.04
        Percentage annual increase,,,4.8,5.1,4.0,5.9,5.3,4.2,5.1,,,5.3,4.5,,,3.4,3.8,4.1,2.2,1.7,,,1.7,1.6,1.0,0.9,3.3,2.9,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median total weekly paid hours,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,35.0,34.0,34.5,,34.5,34.5,34.8,34.0,33.3,33.1,,32.7,32.9,33.1,33.1,33.3,33.7,33.5,33.5
        Percentage annual increase,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.9,1.5,,,0.0,1.0,-2.5,-1.8,-0.9,,,0.7,0.7,0.1,0.6,1.2,-0.7,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean total weekly paid hours,,30.0,30.0,30.0,29.8,29.8,29.8,29.8,30.0,,30.0,29.5,29.6,,29.6,29.5,29.7,29.4,29.3,29.1,,29.0,29.1,29.2,29.3,29.4,29.5,29.5,29.4
        Percentage annual increase,,,-0.2,-0.1,-0.7,0.3,-0.1,-0.1,0.6,,,-1.6,0.5,,,-0.4,0.5,-1.0,-0.3,-0.6,,,0.2,0.3,0.4,0.5,0.4,-0.2,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source: Annual Survey of Hours and Earnings
a All employees on adult rates whose pay for the survey period was unaffected by absence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Annual earnings estimates relate to employees who have been in the same job for at least 12 months, regardless of whether or not their pay was affected by absence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go to Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
